Row Labels,Sum of total_registered,Sum of retained_users,,,
2020,1226192,662042,,,
Qtr1,389430,258409,,,
Jan,184524,132356,,,
Feb,116546,73335,,,
Mar,88360,52718,,,
Qtr2,356516,182992,,,
Apr,91482,50413,,,
May,148096,74437,,,
Jun,116938,58142,,,
Qtr3,199544,97183,,,
Jul,78148,37971,,,
Aug,61740,30250,,,
Sep,59656,28962,,,
Qtr4,280702,123458,,,
Oct,70242,32998,,,
Nov,107586,47031,,,
Dec,102874,43429,,,
2021,795980,263732,,,
Qtr1,190268,77475,,,
Jan,69062,28634,,,
Feb,56880,23073,,,
Mar,64326,25768,,,
Qtr2,263102,91418,,,
Apr,68020,25843,,,
May,110146,37822,,,
Jun,84936,27753,,,
Qtr3,136422,45092,,,
Jul,44886,14930,,,
Aug,43486,14763,,,
Sep,48050,15399,,Hightest retention rate and date,71.73% Jan 2020
Qtr4,206188,49747,,Lowest retention rate and date,19.28%  Dec 2021
Oct,53588,16039,,,
Nov,76184,18977,,,
Dec,76416,14731,,,
Grand Total,2022172,925774,,,
